"Year","State","Beverage_Type","Gallons_of_Beverage","Gallons_of_Ethanol","Population_14_Plus","Ethanol_Per_Capita_14_Plus","Decile_14_Plus","Population_21_Plus","Ethanol_Per_Capita_21_Plus","Decile_21_Plus","Data_Source_Type","Time_Varying_ABV","Gallons_of_Ethanol_from_ABV"
"1970","Virginia","Spirits","7717000","3472650","341800","10160","6","279000","12447","6",".","",""
"1970","Virginia","Wine","4373000","699680","341800","2047","5","279000","2508","5",".","",""
"1970","Virginia","Beer","84553000","3804885","341800","11132","7","279000","13638","7",".","",""
"1970","Virginia","All Beverages","","7977215","341800","23339","6","279000","28592","6",".","",""
"1970","Washington","Spirits","6024000","2710800","252000","10757","5","205700","13178","5",".","",""
"1970","Washington","Wine","6148000","983680","252000","3903","2","205700","4782","1",".","",""
"1970","Washington","Beer","66838000","3007710","252000","11935","5","205700","14622","5",".","",""
"1970","Washington","All Beverages","","6702190","252000","26596","5","205700","32582","5",".","",""
"1970","West Virginia","Spirits","1996000","898200","130600","6877","9","106900","8402","9",".","",""
"1970","West Virginia","Wine","722000","115520","130600","885","10","106900","1081","10",".","",""
"1970","West Virginia","Beer","25117000","1130265","130600","8654","9","106900","10573","9",".","",""
"1970","West Virginia","All Beverages","","2143985","130600","16416","9","106900","20056","9",".","",""
"1970","Wisconsin","Spirits","8867000","3990150","319200","12500","4","259200","15394","4",".","",""
"1970","Wisconsin","Wine","4332000","693120","319200","2171","5","259200","2674","5",".","",""
"1970","Wisconsin","Beer","121486000","5466870","319200","17127","1","259200","21091","1",".","",""
"1970","Wisconsin","All Beverages","","10150140","319200","31799","2","259200","39159","2",".","",""
"1970","Wyoming","Spirits","616000","277200","24100","11502","4","19500","14215","4",".","",""
"1970","Wyoming","Wine","236000","37760","24100","1567","7","19500","1936","7",".","",""
"1970","Wyoming","Beer","6867000","309015","24100","12822","3","19500","15847","3",".","",""
"1970","Wyoming","All Beverages","","623975","24100","25891","5","19500","31999","5",".","",""
"1970","Northeast Region","Spirits","103997000","46798650","3662400","12778","","3059300","15297","",".","",""
"1970","Northeast Region","Wine","73912000","11825920","3662400","3229","","3059300","3866","",".","",""
"1970","Northeast Region","Beer","971941000","43737345","3662400","11942","","3059300","14297","",".","",""
"1970","Northeast Region","All Beverages","","102361915","3662400","27949","","3059300","33459","",".","",""
"1970","Midwest Region","Spirits","93171000","41926950","4123700","10167","","3372600","12432","",".","",""
"1970","Midwest Region","Wine","49829000","7972640","4123700","1933","","3372600","2364","",".","",""
"1970","Midwest Region","Beer","1121080000","50448600","4123700","12234","","3372600","14958","",".","",""
"1970","Midwest Region","All Beverages","","100348190","4123700","24335","","3372600","29754","",".","",""
"1970","South Region","Spirits","101110000","45499500","4595800","9900","","3743700","12154","",".","",""
"1970","South Region","Wine","51900000","8304000","4595800","1807","","3743700","2218","",".","",""
"1970","South Region","Beer","1023368000","46051560","4595800","10020","","3743700","12301","",".","",""
"1970","South Region","All Beverages","","99855060","4595800","21727","","3743700","26673","",".","",""
"1970","West Region","Spirits","71592000","32216400","2557700","12596","","2096600","15366","",".","",""
"1970","West Region","Wine","80160000","12825600","2557700","5015","","2096600","6117","",".","",""
"1970","West Region","Beer","653223000","29395035","2557700","11493","","2096600","14020","",".","",""
"1970","West Region","All Beverages","","74437035","2557700","29103","","2096600","35504","",".","",""
"1970","United States","Spirits","369870000","166441500","14939600","11141","","12272200","13562","",".","",""
"1970","United States","Wine","255801000","40928160","14939600","2740","","12272200","3335","",".","",""
"1970","United States","Beer","3769612000","169632540","14939600","11355","","12272200","13823","",".","",""
"1970","United States","All Beverages","","377002200","14939600","25235","","12272200","30720","",".","",""
"1971","Alabama","Spirits","4332000","1949400","256038","7614","9","206832","9425","9",".","",""
"1971","Alabama","Wine","1504000","240640","256038","940","10","206832","1163","10",".","",""
"1971","Alabama","Beer","37598000","1691910","256038","6608","10","206832","8180","10",".","",""
"1971","Alabama","All Beverages","","3881950","256038","15162","10","206832","18769","10",".","",""
"1971","Alaska","Spirits","1029000","463050","21527","21509","1","17059","27143","1",".","",""
"1971","Alaska","Wine","582000","93120","21527","4326","2","17059","5458","2",".","",""
"1971","Alaska","Beer","6336000","285120","21527","13244","3","17059","16713","2",".","",""
"1971","Alaska","All Beverages","","841290","21527","39079","1","17059","49314","1",".","",""
"1971","Arizona","Spirits","3274000","1473300","137603","10707","5","111404","13225","5",".","",""
"1971","Arizona","Wine","2999000","479840","137603","3487","4","111404","4307","4",".","",""
"1971","Arizona","Beer","41837000","1882665","137603","13682","2","111404","16899","2",".","",""
"1971","Arizona","All Beverages","","3835805","137603","27876","4","111404","34431","4",".","",""
"1971","Arkansas","Spirits","1815000","816750","146798","5564","10","120652","6769","10",".","",""
"1971","Arkansas","Wine","1258000","201280","146798","1371","8","120652","1668","8",".","",""
"1971","Arkansas","Beer","25020000","1125900","146798","7670","10","120652","9332","10",".","",""
"1971","Arkansas","All Beverages","","2143930","146798","14605","10","120652","17769","10",".","",""
"1971","California","Spirits","46657000","20995650","1523143","13784","3","1256337","16712","3",".","",""
"1971","California","Wine","64162000","10265920","1523143","6740","1","1256337","8171","1",".","",""
"1971","California","Beer","380397000","17117865","1523143","11239","7","1256337","13625","7",".","",""
"1971","California","All Beverages","","48379435","1523143","31763","2","1256337","38508","2",".","",""
"1971","Colorado","Spirits","4993000","2246850","169361","13267","3","136790","16425","3",".","",""
"1971","Colorado","Wine","3983000","637280","169361","3763","3","136790","4659","3",".","",""
"1971","Colorado","Beer","45359000","2041155","169361","12052","5","136790","14922","5",".","",""
"1971","Colorado","All Beverages","","4925285","169361","29081","3","136790","36006","2",".","",""
"1971","Connecticut","Spirits","7318000","3293100","227913","14449","2","189497","17378","2",".","",""
"1971","Connecticut","Wine","5240000","838400","227913","3679","4","189497","4424","4",".","",""
"1971","Connecticut","Beer","50381000","2267145","227913","9947","8","189497","11964","8",".","",""
"1971","Connecticut","All Beverages","","6398645","227913","28075","4","189497","33766","4",".","",""
"1971","Delaware","Spirits","1579000","710550","41080","17296","2","33305","21334","2",".","",""
"1971","Delaware","Wine","604000","96640","41080","2352","6","33305","2902","6",".","",""
"1971","Delaware","Beer","10948000","492660","41080","11992","5","33305","14792","5",".","",""
"1971","Delaware","All Beverages","","1299850","41080","31641","2","33305","39028","2",".","",""
"1971","District of Columbia","Spirits","5707000","2568150","58066","44227","1","48696","52738","1",".","",""
"1971","District of Columbia","Wine","3288000","526080","58066","9060","1","48696","10803","1",".","",""
"1971","District of Columbia","Beer","17597000","791865","58066","13637","2","48696","16261","3",".","",""
"1971","District of Columbia","All Beverages","","3886095","58066","66924","1","48696","79803","1",".","",""
"1971","Florida","Spirits","18414000","8286300","549334","15084","2","462450","17918","2",".","",""
"1971","Florida","Wine","11174000","1787840","549334","3255","4","462450","3866","4",".","",""
"1971","Florida","Beer","143345000","6450525","549334","11742","6","462450","13949","6",".","",""
"1971","Florida","All Beverages","","16524665","549334","30081","2","462450","35733","3",".","",""
"1971","Georgia","Spirits","8185000","3683250","342311","10760","5","277079","13293","5",".","",""
"1971","Georgia","Wine","2636000","421760","342311","1232","9","277079","1522","9",".","",""
"1971","Georgia","Beer","64879000","2919555","342311","8529","9","277079","10537","9",".","",""
"1971","Georgia","All Beverages","","7024565","342311","20521","8","277079","25352","8",".","",""
"1971","Hawaii","Spirits","1200000","540000","58251","9270","7","47030","11482","7",".","",""
"1971","Hawaii","Wine","1332000","213120","58251","3659","4","47030","4532","3",".","",""
"1971","Hawaii","Beer","14725000","662625","58251","11375","7","47030","14089","6",".","",""
"1971","Hawaii","All Beverages","","1415745","58251","24304","6","47030","30103","6",".","",""
"1971","Idaho","Spirits","910000","409500","53533","7649","8","42790","9570","8",".","",""
"1971","Idaho","Wine","863000","138080","53533","2579","5","42790","3227","5",".","",""
